Hypothesis,Pathways,Introduction success,Invasibility,Invasion success,Successful taxa,Impact determinants,Impact size,Impactful taxa,Control,Impact mitigation,Meta-invasion science
ADP,0,0,0,1,0,0,0,0,0,0,0
BA,0,0,1,0,0,0,0,0,0,0,0
BID,0,0,0,1,0,0,0,0,0,0,0
BR,0,0,1,0,0,0,0,0,0,0,0
CP,0,0,1,0,0,0,0,0,0,0,0
DEM,0,0,1,1,0,0,0,0,0,0,0
DN,0,0,1,1,0,0,0,0,0,0,0
DS,0,0,1,1,0,0,0,0,0,0,0
EE,0,0,0,1,0,1,1,0,0,0,0
EI,0,0,0,1,0,1,0,0,0,0,0
EICA,0,0,0,1,0,0,0,0,0,0,0
EIM,0,0,1,1,1,0,0,0,0,0,0
EN,0,0,1,1,0,0,0,0,0,0,0
ENA,0,0,1,1,0,1,0,0,0,0,0
ER,0,0,1,1,0,0,0,0,0,0,0
ERD,0,0,1,1,0,0,0,0,0,0,0
EVH,0,0,1,1,0,0,0,0,0,0,0
GC,0,0,0,1,0,0,0,0,0,0,0
HC,0,0,0,1,1,0,0,0,0,0,0
HF,0,0,0,1,0,0,0,0,0,0,0
IM,0,0,1,1,0,1,1,0,0,0,0
IRA,0,0,1,1,0,0,0,0,0,0,0
IS,0,0,1,1,1,0,0,0,0,0,0
ISH,0,0,1,0,0,1,0,0,0,0,0
IW,0,0,0,1,1,1,0,1,0,0,0
LS,0,0,0,1,0,0,0,0,0,0,0
MM,0,0,0,1,0,0,0,0,0,0,0
NAS,0,0,0,1,0,0,0,0,0,0,0
NW,0,0,1,1,1,0,0,1,0,0,0
OW,0,0,1,1,0,0,0,0,0,0,0
PH,0,0,0,1,1,0,0,0,0,0,0
PO,0,0,0,1,1,0,0,0,0,0,0
PP,0,1,0,1,0,0,0,0,0,0,0
RER,0,0,1,1,0,0,0,0,0,0,0
RI,0,0,1,1,0,0,0,0,0,0,0
SDH,0,0,1,1,0,0,0,0,0,0,0
SG,0,0,1,0,0,0,0,0,0,0,0
SP,0,0,1,1,0,0,0,0,0,0,0
TEN,0,1,0,1,0,1,0,0,0,0,0
